image_path,person_name,bbox,split_type
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Kate_Hudson/Kate_Hudson_0009.jpg,Kate_Hudson,"[68, 53, 172, 201]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Federico_Trillo/Federico_Trillo_0001.jpg,Federico_Trillo,"[80, 55, 188, 199]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Ranil_Wickremasinghe/Ranil_Wickremasinghe_0002.jpg,Ranil_Wickremasinghe,"[87, 62, 187, 197]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Taha_Yassin_Ramadan/Taha_Yassin_Ramadan_0015.jpg,Taha_Yassin_Ramadan,"[78, 73, 170, 197]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Tom_Hanks/Tom_Hanks_0003.jpg,Tom_Hanks,"[72, 62, 164, 191]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Jennifer_Garner/Jennifer_Garner_0009.jpg,Jennifer_Garner,"[82, 67, 174, 195]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Nancy_Pelosi/Nancy_Pelosi_0004.jpg,Nancy_Pelosi,"[71, 62, 167, 195]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Atal_Bihari_Vajpayee/Atal_Bihari_Vajpayee_0011.jpg,Atal_Bihari_Vajpayee,"[83, 97, 157, 191]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Carolina_Kluft/Carolina_Kluft_0001.jpg,Carolina_Kluft,"[80, 79, 159, 185]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Kate_Hudson/Kate_Hudson_0004.jpg,Kate_Hudson,"[90, 60, 181, 186]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Rubens_Barrichello/Rubens_Barrichello_0011.jpg,Rubens_Barrichello,"[78, 73, 168, 182]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Nicole_Kidman/Nicole_Kidman_0008.jpg,Nicole_Kidman,"[75, 73, 156, 180]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Nadia_Petrova/Nadia_Petrova_0003.jpg,Nadia_Petrova,"[66, 57, 175, 193]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Martina_McBride/Martina_McBride_0001.jpg,Martina_McBride,"[77, 60, 174, 194]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Hugo_Chavez/Hugo_Chavez_0034.jpg,Hugo_Chavez,"[78, 64, 177, 196]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Tom_Daschle/Tom_Daschle_0011.jpg,Tom_Daschle,"[77, 64, 167, 187]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Jennifer_Aniston/Jennifer_Aniston_0006.jpg,Jennifer_Aniston,"[82, 53, 181, 200]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Megawati_Sukarnoputri/Megawati_Sukarnoputri_0033.jpg,Megawati_Sukarnoputri,"[76, 62, 175, 196]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Roger_Federer/Roger_Federer_0009.jpg,Roger_Federer,"[82, 58, 179, 190]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Abdullah_Gul/Abdullah_Gul_0008.jpg,Abdullah_Gul,"[75, 64, 174, 191]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Demi_Moore/Demi_Moore_0004.jpg,Demi_Moore,"[71, 63, 173, 195]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Jiang_Zemin/Jiang_Zemin_0018.jpg,Jiang_Zemin,"[79, 64, 175, 193]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Bridget_Fonda/Bridget_Fonda_0003.jpg,Bridget_Fonda,"[78, 60, 176, 193]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Mahmoud_Abbas/Mahmoud_Abbas_0004.jpg,Mahmoud_Abbas,"[71, 58, 172, 193]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Silvio_Berlusconi/Silvio_Berlusconi_0002.jpg,Silvio_Berlusconi,"[80, 58, 173, 193]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Queen_Latifah/Queen_Latifah_0001.jpg,Queen_Latifah,"[70, 56, 176, 189]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Alejandro_Toledo/Alejandro_Toledo_0017.jpg,Alejandro_Toledo,"[78, 71, 168, 190]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Winona_Ryder/Winona_Ryder_0007.jpg,Winona_Ryder,"[140, 4, 252, 140]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/George_W_Bush/George_W_Bush_0256.jpg,George_W_Bush,"[71, 62, 167, 190]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/LeBron_James/LeBron_James_0005.jpg,LeBron_James,"[72, 60, 178, 192]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Colin_Farrell/Colin_Farrell_0007.jpg,Colin_Farrell,"[71, 53, 172, 201]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Amelia_Vega/Amelia_Vega_0006.jpg,Amelia_Vega,"[80, 55, 176, 191]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Jean-Francois_Pontal/Jean-Francois_Pontal_0002.jpg,Jean-Francois_Pontal,"[75, 68, 174, 189]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Andre_Agassi/Andre_Agassi_0028.jpg,Andre_Agassi,"[79, 67, 171, 188]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Tony_Blair/Tony_Blair_0004.jpg,Tony_Blair,"[73, 64, 170, 194]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/George_W_Bush/George_W_Bush_0484.jpg,George_W_Bush,"[75, 65, 164, 185]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Jacques_Chirac/Jacques_Chirac_0041.jpg,Jacques_Chirac,"[66, 60, 172, 199]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Jennifer_Capriati/Jennifer_Capriati_0031.jpg,Jennifer_Capriati,"[73, 76, 176, 207]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Brad_Johnson/Brad_Johnson_0003.jpg,Brad_Johnson,"[67, 64, 172, 191]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Michelle_Pfeiffer/Michelle_Pfeiffer_0003.jpg,Michelle_Pfeiffer,"[76, 62, 176, 192]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Al_Gore/Al_Gore_0002.jpg,Al_Gore,"[78, 68, 169, 192]",train
/home/jovyan/face-recognition-model-development/dataset/LFW_face_matching_data/lfw_funneled/Michael_Phelps/Michael_Phelps_0003.jpg,Michael_Phelps,"[75, 69, 171, 193]",train
